id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price
167,Toyota,Tundra SR5,2016,66000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,31000
168,Chevrolet,Silverado 1500 RST,2013,85500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,17000
169,Chevrolet,Suburban 1500 LTZ,2011,52253,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,62499
170,Audi,A4 2.0T Premium,2011,102000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,18900
171,Lexus,GX 460 Base,2021,16500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,52500
172,Lincoln,Navigator Reserve,2019,72200,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,52500
173,Land,Rover Range Rover Sport HSE Dynamic,2018,54800,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,31000
174,Porsche,Taycan Turbo,2023,1794,,Electric Motor Electric Fuel System,2-Speed A/T,Blue,Black,None reported,83500
175,Bentley,Continental GTC Base,2013,71280,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,15000
176,Nissan,Leaf S,2020,14330,,Electric,1-Speed Automatic,Brilliant Silver Metallic,Black,None reported,52999
177,Toyota,Highlander SE,2009,87500,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,9999
178,Ford,Mustang GT Premium,2017,94000,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,20995
179,Ford,Mustang Premium,2004,102000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,8900
180,Mercedes-Benz,CLK-Class CLK 350,2015,57912,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,21500
181,Jeep,Wrangler Unlimited,2005,100574,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,Gray,None reported,15400
182,Chevrolet,S-10 LS Crew Cab,2001,146000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,9500
183,Ford,Mustang V6,2013,68200,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,15750
184,Lexus,LC 500 Base,2021,6523,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Red,None reported,54500
185,Ford,Expedition EL King Ranch,2019,63400,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Black,None reported,32500
186,Porsche,911 Carrera,2023,7200,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,48000
187,Dodge,Ram 1500 Laramie Mega Cab,2006,178416,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,5990
188,Mercedes-Benz,E-Class E 350 4MATIC,2021,23950,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,39900
189,Chevrolet,Suburban Premier,2019,72839,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Black Raven,Jet Black,None reported,28895
190,INFINITI,G37 S Sport,2012,7200,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,50000
191,Porsche,Cayenne Turbo S,2014,9822,Gasoline,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,60995
192,Ford,GT-R Premium,2009,51400,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,None reported,13500
193,Porsche,Boxster Base,2005,121800,Gasoline,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Beige,White,None reported,8900
194,Tesla,Model 3 Standard Range Plus,2021,42094,Gasoline,Electric Motor Electric Fuel System,A/T,Black,Black,None reported,32750
195,Toyota,Sequoia Limited,2008,269885,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,7200
196,Kia,Sorento SX,2011,11649,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,21000
197,Mercedes-Benz,Metris Base,2020,26000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,39000
198,Jeep,Wrangler Unlimited Sahara,2019,62197,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,None reported,33950
199,Bentley,Continental GT Base,2011,18000,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Green,Brown,None reported,89000
200,BMW,X1 xDrive 28i,2015,79950,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,White,At least 1 accident or damage reported,17000
201,Ford,Explorer XLT,2017,75000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,28500
202,Porsche,911 Carrera 4S,2001,59528,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,80140
203,Alfa,Romeo Stelvio Ti Sport,2020,59500,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,49900
204,Chevrolet,Suburban 1500 LTZ,2015,167500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,18000
205,Toyota,4Runner SR5 Premium,2020,32199,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,48900
206,Ford,Mustang EcoBoost Premium,2017,91000,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,36000
207,Cadillac,CTS Luxury,2011,86281,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,14900
208,Mercedes-Benz,GLS 450 Base 4MATIC,2022,15000,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Silver,Gray,None reported,28500
209,Audi,Q5 2.0T Premium Plus,2016,69764,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,29950
210,Chevrolet,Silverado 1500 1LT,2014,71448,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,28000
211,Tesla,Model Y Long Range,2020,60000,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,White,White,At least 1 accident or damage reported,60000
212,Land,Rover Range Rover Evoque S,2022,12425,Gasoline,2.0 Liter,Automatic,Firenze Red,Ebony,None reported,24991
213,BMW,X5 PHEV xDrive45e,2023,3099,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed Automatic,Black,Black,None reported,73897
214,Jaguar,XJ6 Vanden Plas,2004,170000,Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gold,–,At least 1 accident or damage reported,4900
215,Chevrolet,Corvette Stingray w/3LT,2023,3000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,88950
216,Mazda,Mazda6 i Touring,2016,91000,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,12500
217,Porsche,Macan GTS,2022,2492,Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,Black,Black,None reported,99950
218,INFINITI,Q50 3.0t Red Sport 400,2018,72784,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,110000
219,Jeep,Wrangler Unlimited Rubicon,2018,64517,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,27000
220,Ford,F-150 XLT,2021,26315,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Agate Black Metallic,Black,None reported,2954083
221,Hyundai,Genesis Coupe 3.8 Track,2013,165000,Gasoline,120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,9000
222,Mercedes-Benz,SL-Class SL500 Roadster,2011,134000,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,5500
223,Cadillac,Escalade ESV Platinum,2021,3053,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,74900
224,Chevrolet,Silverado 2500 LT H/D Extended Cab,2007,134602,Gasoline,275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,8300
225,Mercedes-Benz,AMG C 63 S,2019,64500,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,43000
226,Lincoln,MKZ Base,2013,68425,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,10999
227,Land,Rover Range Rover Sport Supercharged,2015,7600,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,52000
228,Kia,Telluride SX,2020,26870,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Glacial White Pearl,Black,None reported,37698
229,BMW,M3 Base,2011,106000,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,17800
230,Mercedes-Benz,AMG C AMG C 63 S,2021,1966,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,40999
231,Porsche,911 Turbo S,2018,26520,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,Black,Black,None reported,62890
232,Jeep,Wrangler Unlimited Sport,2017,84786,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,32750
233,Nissan,NV Passenger NV3500 HD SL V8,2022,14353,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,46599
234,Ford,Explorer Platinum,2022,20500,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed Automatic,Majestic Plum Metallic,Light Platinum / Jet Black,None reported,56000
235,Mercedes-Benz,C-Class C 300 4MATIC,2017,90189,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,16000
236,BMW,335 i xDrive,2013,105000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,15550
237,Mercedes-Benz,GLE 350 GLE 350,2022,18655,Gasoline,2.0 Liter Turbo,Automatic,designo Diamond White Metallic,Macchiato/Magmagrey,None reported,39998
238,Subaru,WRX Base,2013,72922,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,17800
239,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,53452,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,37050
240,Tesla,Model Y Performance,2020,46897,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,White,None reported,29000
241,Porsche,Cayenne Turbo,2014,69600,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,14490
242,Toyota,Tundra Limited,2019,69423,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,34900
243,Ford,F-150 Raptor,2021,28260,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black,None reported,62500
244,Ford,F-150 XLT,2020,53500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,69000
245,Lexus,RC 350 Base,2016,75151,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,27899
246,Lexus,GX 460 Base,2015,26100,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,29900
247,Chevrolet,Camaro 2SS,2022,19200,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,57000
248,Audi,S3 2.0T Tech Premium Plus,2012,102000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,15000
249,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,15889,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,White,At least 1 accident or damage reported,29950
250,Cadillac,Escalade EXT Base,2007,158000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Beige,Beige,None reported,23500
251,Ferrari,911 GT2 RS,2022,19250,Gasoline,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Red,None reported,124900
252,Maserati,GranTurismo Sport,2017,80300,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,22000
253,Chevrolet,Silverado 1500 RST,2017,68200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,35500
254,Cadillac,CTS Luxury,2012,106000,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,11000
255,Lexus,RX 350 F Sport,2020,27000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,34700
256,BMW,840 Gran Coupe i xDrive,2020,29336,Gasoline,3.0 Liter Turbo,Automatic,Black Sapphire Metallic,Black,At least 1 accident or damage reported,50658
257,BMW,M4 Base,2019,26500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,55000
258,BMW,M4 Base,2011,118500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Orange,None reported,12000
259,Land,Rover Range Rover P530 SE LWB 7 Seat,2023,5040,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,40000
260,Land,Rover Range Rover Sport Supercharged HSE,2016,7800,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,43000
261,Mercedes-Benz,S-Class S 580 4MATIC,2022,3880,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,57999
262,Pontiac,Solstice GXP,2007,133409,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,6700
263,Chevrolet,Suburban High Country,2019,102200,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,At least 1 accident or damage reported,48000
264,Honda,Element EX,2008,158564,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,At least 1 accident or damage reported,9500
265,Jeep,Wrangler Sport,2002,141525,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,None reported,15500
266,Audi,A6 3.0T Premium Plus,2016,87600,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,22000
267,Aston,Martin Vantage GT Base,2017,127600,Gasoline,430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,315000
268,Buick,Enclave Premium,2017,119550,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gold,Gold,None reported,29800
269,Lexus,ES 300h Base,2021,33000,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,48500
270,Acura,TL Type S,2005,123500,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,12800
271,Audi,Q5 S line Premium Plus,2022,10071,Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,44798
272,Jeep,Grand Cherokee L Laredo,2020,49810,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,47500
273,Ford,Explorer XLT,2016,164500,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,16500
274,Cadillac,CTS-V Base,2009,64000,Gasoline,640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,35900
275,Dodge,Ram 1500 ST,2011,121250,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,6000
276,BMW,328 i xDrive,2005,90000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,12000
277,Ford,Edge Titanium,2016,73549,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,White Diamond Tri-Coat,Ebony,At least 1 accident or damage reported,26485
278,Porsche,Panamera 4S,2010,66000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,37500
279,Subaru,Impreza WRX Sti,2004,36700,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,24500
280,Jeep,Grand Cherokee Limited,2022,1300,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gray,None reported,27890
281,Toyota,Camry Hybrid Base,2011,114323,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Gray,At least 1 accident or damage reported,10000
282,Acura,TLX,2020,3389,Gasoline,3.5 Liter,Automatic,Platinum White Pearl,Black,None reported,40798
283,Tesla,Model Y Performance,2023,7578,,Electric,Automatic,White,Black,None reported,267950
284,Subaru,Outback Limited XT,2020,39948,Gasoline,2.5L H4 16V MPFI DOHC,Automatic CVT,Magnetite Gray Metallic,Black,At least 1 accident or damage reported,24590
285,Lincoln,Navigator Reserve,2018,67073,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,38000
286,Land,Rover Range Rover Sport HSE,2020,40237,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Carpathian Grey Premium Metallic,Cloud,None reported,31599
287,Ford,Explorer XLT,2013,98000,E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,15995
288,Lexus,GX 470 Base,2008,151544,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,12468
289,Mercedes-Benz,GLE 350 GLE 350,2021,2284,Hybrid,2.0 Liter,Automatic,designo Diamond White Bright,Black,None reported,47598
290,Lexus,ES 350 Base,2017,70000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,None reported,22500
291,Genesis,GV70 3.5T Sport,2022,3534,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,6-Speed Automatic,Phantom Black Pearl Effect / Black Roof,Beige,None reported,38698
292,Lamborghini,Gallardo LP550-2,2013,7000,Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,140000
293,Subaru,Forester 2.5i Limited,2014,120000,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,20000
294,Mercedes-Benz,AMG G 63 Base,2020,28755,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,96850
295,Ford,F-150 XLT,2019,29500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,33000
296,Mercedes-Benz,S-Class S 550 4MATIC,2020,44300,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,489000
297,Subaru,WRX Limited,2019,62662,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,White,At least 1 accident or damage reported,26999
298,Land,Rover Defender S,2018,76000,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,21800
299,Kia,Telluride SX,2023,2950,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,54500
300,Lexus,RC F Base,2015,51400,Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,49900
301,BMW,128 i,2013,73000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,16000
302,Ford,Transit Connect XL,2017,66770,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,20000
303,INFINITI,Q50 Hybrid Sport,2021,67000,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,31450
304,Dodge,Grand Caravan SE,2018,44000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,30999
305,Mercedes-Benz,CLS-Class CLS 550,2007,149000,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,3850
306,Toyota,Tacoma PreRunner,2008,100000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,6000
307,Chevrolet,Camaro 2SS,2018,76200,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,19980
308,Toyota,Avalon XLE,2015,90000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,At least 1 accident or damage reported,7500
309,Ford,Transit-350 Base,2019,53000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,42900
310,BMW,M8 Base,2023,4348,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,87500
311,Land,Rover Range Rover Velar P380 S,2019,66000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,51500
312,Nissan,Armada SL,2018,56678,Gasoline,5.6 Liter,Automatic,White,Black,None reported,32769
313,Mercedes-Benz,AMG E 63 S 4MATIC,2017,9500,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,At least 1 accident or damage reported,30000
314,Chrysler,Town & Country Touring-L,2012,130000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Gray,At least 1 accident or damage reported,7500
315,Audi,A6 3.0T Prestige,2013,79000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Brown,At least 1 accident or damage reported,175000
316,Chevrolet,Corvette Stingray w/2LT,2023,14206,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,32500
317,Lexus,GX 460 Base,2020,48210,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,Nebula Gray Pearl,Rioja Red,At least 1 accident or damage reported,25215
318,Lexus,ES 350 Base,2016,67726,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,17200
319,Lexus,LS 460 L,2013,110450,Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Beige,None reported,58900
320,Chevrolet,Equinox LT,2012,96653,Gasoline,264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,8500
321,Lexus,GX 460 Premium,2022,82000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,30919
322,Cadillac,SRX Luxury Collection,2010,152000,Gasoline,292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,None reported,42950
323,Ford,F-150 Raptor,2021,51300,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,62450
324,Land,Rover LR4 HSE,2013,63250,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,25500
325,Lexus,IS 250 Base,2008,121886,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,–,At least 1 accident or damage reported,38490
326,Ford,Mustang GT Premium,2015,110000,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,At least 1 accident or damage reported,16000
327,Land,Rover Range Rover Evoque Pure,2015,80124,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,22989
328,Mercedes-Benz,AMG GLS 63 4MATIC,2022,2000,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,93999
329,Land,Rover Range Rover Evoque HSE Dynamic,2017,79000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Red,None reported,38000
330,Jaguar,F-TYPE R,2018,7941,Gasoline,4.0L V8 32V MPFI DOHC Twin Turbo,9-Speed Automatic,Black Raven,Black,None reported,33172
