id,brand,model,model_year,milage,fuel_type,engine,transmission,price
201,Ford,,2017.0,75000.0,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,28500
202,Porsche,911 Carrera 4S,2001.0,59528.0,,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,80140
203,Alfa,Romeo Stelvio Ti Sport,2020.0,,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,49900
204,Chevrolet,Suburban 1500 LTZ,2015.0,,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,18000
205,Toyota.,,2020.0,32199.0,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,48900
206,Ford,Mustang EcoBoost Premium,2017.0,91000.0,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,36000
207,Cadillac,,2011.0,86281.0,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,14900
208,Mercedes-Benz,GLS 450 Base 4MATIC,2022.0,15000.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,28500
209,Audi,Q5 2.0T Premium Plus,2016.0,69764.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,29950
210,Chevrolet,Silverado 1500 1LT,2014.0,71448.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,28000
211,Tesla,Model Y Long Range,2020.0,60000.0,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,60000
212,Land Rover,Rover Range Rover Evoque S,2022.0,12425.0,Gasoline,2.0 Liter,Automatic,24991
213,BMW,X5 PHEV xDrive45e,2023.0,3099.0,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed Automatic,73897
214,Jaguar,XJ6 Vanden Plas,2004.0,170000.0,,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,4900
215,Chevy,Corvette Stingray w/3LT,2023.0,3000.0,,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,88950
216,,Mazda6 i Touring,,91000.0,,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,12500
217,,Macan GTS,2022.0,2492.0,Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,99950
218,INFINITI,Q50 3.0t Red Sport 400,2018.0,72784.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,110000
219,Jeep,Wrangler Unlimited Rubicon,2018.0,64517.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,27000
220,FORD,F-150 XLT,2021.0,26315.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,2954083
221,Hyundai,Genesis Coupe 3.8 Track,2013.0,165000.0,Gasoline,120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,9000
222,,SL-Class SL500 Roadster,2011.0,134000.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,5500
223,Cadillac,Escalade ESV Platinum,2021.0,3053.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,74900
224,Chevy,Silverado 2500 LT H/D Extended Cab,2007.0,134602.0,,275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,8300
225,,AMG C 63 S,2019.0,64500.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,43000
226,Lincoln,MKZ Base,2013.0,68425.0,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,10999
227,Land Rover,Rover Range Rover Sport Supercharged,2015.0,7600.0,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,52000
228,Kia,Telluride SX,2020.0,26870.0,,3.8L V6 24V GDI DOHC,8-Speed Automatic,37698
229,BMW,M3 Base,2011.0,106000.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,17800
230,Mercedes,AMG C AMG C 63 S,2021.0,1966.0,,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,40999
231,Porsche,911 Turbo S,2018.0,26520.0,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,62890
232,,Wrangler Unlimited Sport,,,,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,32750
233,Nissan,NV Passenger NV3500 HD SL V8,2022.0,14353.0,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,46599
234,Ford,Explorer Platinum,2022.0,20500.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed Automatic,56000
235,Mercedes,C-Class C 300 4MATIC,2017.0,90189.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,16000
236,BMW,335 i xDrive,2013.0,105000.0,Gasoline,,Transmission w/Dual Shift Mode,15550
237,Mercedes,GLE 350 GLE 350,2022.0,18655.0,Gasoline,2.0 Liter Turbo,Automatic,39998
238,Subaru,WRX Base,2013.0,72922.0,,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,17800
239,Land Rover,Rover Range Rover 3.0L V6 Supercharged HSE,2019.0,53452.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,37050
240,Tesla,Model Y Performance,2020.0,46897.0,,,1-Speed A/T,29000
241,,Cayenne Turbo,2014.0,69600.0,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,14490
242,,Tundra Limited,2019.0,69423.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,34900
243,Ford,F-150 Raptor,2021.0,28260.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,62500
244,Ford,F-150 XLT,2020.0,53500.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,69000
245,Lexus,,2016.0,75151.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,27899
246,Lexus,,2015.0,26100.0,,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,29900
247,Chevrolet,Camaro 2SS,2022.0,19200.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,57000
248,,S3 2.0T Tech Premium Plus,2012.0,102000.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,15000
249,Mercedes-Benz,AMG C 43 Base 4MATIC,2018.0,15889.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,29950
250,Cadillac,Escalade EXT Base,2007.0,158000.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,23500
251,Ferrari,911 GT2 RS,2022.0,19250.0,,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,124900
252,,GranTurismo Sport,,80300.0,,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,22000
253,Chevy,,2017.0,68200.0,,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,35500
254,Cadillac,CTS Luxury,2012.0,106000.0,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,11000
255,Lexus,RX 350 F Sport,2020.0,27000.0,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,34700
256,BMW,,2020.0,29336.0,Gasoline,3.0 Liter Turbo,Automatic,50658
257,BMW,M4 Base,2019.0,26500.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,55000
258,BMW,M4 Base,2011.0,118500.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,12000
259,Land,Rover Range Rover P530 SE LWB 7 Seat,2023.0,5040.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,40000
260,Land Rover,Rover Range Rover Sport Supercharged HSE,2016.0,7800.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,43000
261,Mercedes-Benz,S-Class S 580 4MATIC,2022.0,3880.0,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,57999
262,Pontiac,Solstice GXP,2007.0,133409.0,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,6700
263,Chevrolet,Suburban High Country,2019.0,102200.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,48000
264,Honda,Element EX,2008.0,158564.0,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,9500
265,Jeep,Wrangler Sport,2002.0,141525.0,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,15500
266,Audi,A6 3.0T Premium Plus,2016.0,87600.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,22000
267,Aston,,2017.0,127600.0,Gasoline,430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,315000
268,,Enclave Premium,2017.0,119550.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,29800
269,Lexus,ES 300h Base,2021.0,33000.0,Hybrid,,CVT Transmission,48500
270,Acura,,2005.0,123500.0,,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,12800
271,,Q5 S line Premium Plus,2022.0,10071.0,Hybrid,2.0 Liter TFSI,Automatic,44798
272,,,2020.0,49810.0,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,47500
273,FORD,,2016.0,164500.0,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,16500
274,Cadillac,CTS-V Base,2009.0,64000.0,Gasoline,640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,35900
275,Dodge,Ram 1500 ST,2011.0,121250.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,6000
276,,328 i xDrive,2005.0,90000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,12000
277,Ford,Edge Titanium,2016.0,73549.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,26485
278,Porsche,Panamera 4S,2010.0,66000.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,37500
279,Subaru,,2004.0,36700.0,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,24500
280,Jeep,Grand Cherokee Limited,2022.0,1300.0,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,27890
281,Toyota,,2011.0,114323.0,,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,10000
282,,TLX,2020.0,3389.0,Gasoline,3.5 Liter,Automatic,40798
283,Tesla,Model Y Performance,2023.0,7578.0,,Electric,Automatic,267950
284,Subaru,Outback Limited XT,2020.0,39948.0,Gasoline,2.5L H4 16V MPFI DOHC,Automatic CVT,24590
285,Lincoln,Navigator Reserve,2018.0,67073.0,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,38000
286,Land Rover,Rover Range Rover Sport HSE,2020.0,40237.0,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,31599
287,FORD,Explorer XLT,2013.0,98000.0,E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,15995
288,,,2008.0,151544.0,,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,12468
289,Mercedes,GLE 350 GLE 350,2021.0,2284.0,Hybrid,2.0 Liter,Automatic,47598
290,Lexus,ES 350 Base,2017.0,70000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,22500
291,Genesis,GV70 3.5T Sport,2022.0,3534.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,6-Speed Automatic,38698
292,Lamborghini,Gallardo LP550-2,2013.0,7000.0,Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,140000
293,Subaru,Forester 2.5i Limited,2014.0,120000.0,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,20000
294,Mercedes-Benz,AMG G 63 Base,2020.0,28755.0,,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,96850
295,,F-150 XLT,,29500.0,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,33000
296,Mercedes-Benz,S-Class S 550 4MATIC,2020.0,44300.0,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,489000
297,Subaru,WRX Limited,2019.0,62662.0,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,26999
298,Land Rover,Rover Defender S,2018.0,76000.0,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,21800
299,Kia,,2023.0,2950.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,54500
300,Lexus,RC F Base,2015.0,51400.0,Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,49900
301,BMW,128 i,2013.0,73000.0,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,16000
302,Ford,Transit Connect XL,2017.0,66770.0,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,20000
303,INFINITI,Q50 Hybrid Sport,2021.0,67000.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,31450
304,Dodge,Grand Caravan SE,2018.0,44000.0,E85 Flex Fuel,,6-Speed A/T,30999
305,Mercedes,CLS-Class CLS 550,2007.0,149000.0,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,3850
306,Toyota,Tacoma PreRunner,2008.0,100000.0,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,6000
307,Chevy,Camaro 2SS,2018.0,76200.0,,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,19980
308,,Avalon XLE,2015.0,90000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,7500
309,Ford,Transit-350 Base,2019.0,53000.0,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,42900
310,BMW,M8 Base,2023.0,4348.0,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,87500
311,Land Rover,,2019.0,66000.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,51500
312,Nissan,Armada SL,2018.0,56678.0,Gasoline,5.6 Liter,Automatic,32769
313,,AMG E 63 S 4MATIC,2017.0,9500.0,,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,30000
314,Chrysler,Town & Country Touring-L,2012.0,130000.0,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,7500
315,Audi,,2013.0,79000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,175000
316,Chevrolet,Corvette Stingray w/2LT,2023.0,14206.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,32500
317,Lexus,GX 460 Base,2020.0,48210.0,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,25215
318,Lexus,ES 350 Base,2016.0,67726.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17200
319,,LS 460 L,2013.0,110450.0,Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,58900
320,,Equinox LT,2012.0,96653.0,,264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,8500
321,,GX 460 Premium,2022.0,82000.0,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,30919
322,Cadillac,SRX Luxury Collection,2010.0,152000.0,Gasoline,292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,42950
323,Ford,F-150 Raptor,2021.0,51300.0,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,62450
324,Land Rover,Rover LR4 HSE,2013.0,63250.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,25500
325,,,2008.0,121886.0,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,38490
326,Ford,Mustang GT Premium,2015.0,110000.0,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,16000
327,Land,Rover Range Rover Evoque Pure,2015.0,80124.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,22989
328,Mercedes-Benz,AMG GLS 63 4MATIC,2022.0,2000.0,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,93999
329,,Rover Range Rover Evoque HSE Dynamic,2017.0,79000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,38000
330,Jaguar,F-TYPE R,,7941.0,Gasoline,4.0L V8 32V MPFI DOHC Twin Turbo,9-Speed Automatic,33172
331,Kia,Forte GT-Line,2021.0,77690.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,13600
332,Nissan,350Z Enthusiast,2008.0,10001.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,10999
333,Mercedes-Benz,SLK-Class SLK320,2001.0,170000.0,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,6000
334,Ford,F-150 Lariat,2018.0,94634.0,,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,53000
335,Mazda,Mazda6 Touring,2020.0,22227.0,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,26299
336,FORD,Mustang GT Premium,2014.0,110000.0,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,17000
337,Chrysler,,2001.0,85000.0,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,8995
338,BMW,,2018.0,98000.0,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,99000
339,Honda,Civic EX,2004.0,190640.0,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,5995
340,Mercedes,E-Class E 550,2019.0,16000.0,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,48000
341,RAM,,2019.0,5779.0,,5.7L V8 16V MPFI OHV,8-Speed Automatic,30427
342,Porsche,911 Turbo,2008.0,132252.0,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,22995
343,,Grand Cherokee Limited,2021.0,15895.0,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic,44791
344,Dodge,Challenger SRT Hellcat,2018.0,29475.0,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,69900
345,,,2008.0,184000.0,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,9995
346,BMW,328 i xDrive,2015.0,87000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17900
347,Jeep,,2009.0,134000.0,,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,5500
348,,Eurovan MV,2001.0,121800.0,,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,2300
349,,,,16500.0,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,146000
350,Mercedes,GLS 550 Base 4MATIC,2018.0,67482.0,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,349950
351,BMW,750 i xDrive,2021.0,27000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,61000
352,Ford,F-150 XLT,2021.0,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,73500
353,RAM,2500 Longhorn,2014.0,83424.0,,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,26000
354,Mercedes-Benz,AMG G 63 Base,2020.0,39800.0,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,166900
355,Audi,A7 3.0T Prestige,2016.0,143250.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,31000
356,Honda,Accord EX-L 2.0T,2020.0,28663.0,,2.0L I4 16V GDI SOHC Turbo,9-Speed Automatic,39777
357,Toyota.,Grand Cherokee L Laredo,2022.0,14676.0,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,53722
358,,F-250 XLT,2021.0,12900.0,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,69000
359,,XT5 Base,2016.0,99982.0,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,24500
360,Ford,Bronco Sport Big Bend,2021.0,31681.0,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,33490
361,RAM,2500 SLT,2016.0,69600.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,35900
362,Ford,F-150 XLT,2019.0,36000.0,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,36500
363,Land Rover,Rover Range Rover Velar R-Dynamic SE,2019.0,75897.0,Gasoline,5.0L V8 32V GDI DOHC Supercharged,Automatic,38598
364,,Romeo Giulia Base,2022.0,9880.0,Gasoline,,8-Speed Automatic,29430
365,Dodge,Ram 1500 SRT-10 Quad Cab,2008.0,153692.0,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,10500
366,Lexus,RX 350 F Sport Performance,2016.0,84421.0,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,24500
367,Land Rover,Rover Range Rover 5.0L Supercharged Autobiography LWB,2016.0,56000.0,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,34900
368,,Escalade ESV Platinum,2022.0,2620.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,63500
369,Mercedes,GLS 450 Base 4MATIC,2019.0,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,59500
370,Ford,E350 Super Duty XLT,2010.0,26021.0,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,6800
371,Audi,Q7 3.0T Premium Plus,2014.0,80800.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,12980
372,Toyota,Camry Hybrid Base,2011.0,116500.0,,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,13715
373,Audi,,2018.0,38000.0,,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,31000
374,Mercedes,SL-Class SL 550,2015.0,60000.0,,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,26000
375,,Wrangler Sahara Altitude,2017.0,12500.0,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,79999
376,Mercedes-Benz,GLC 300 GLC 300,2022.0,16184.0,Gasoline,2.0 Liter Turbo,Automatic,37698
377,Land Rover,Rover Range Rover 3.0L Supercharged,2021.0,2492.0,Gasoline,5.0 Liter,Automatic,39998
378,Mercedes,,2012.0,40000.0,,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,21500
379,Tesla,,2023.0,5338.0,,518.0HP Electric Motor Electric Fuel System,A/T,97500
380,BMW,M5 Base,2015.0,35000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,145000
381,BMW,328 i xDrive,2013.0,106000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,6399
382,Chevy,Silverado 1500 RST,2022.0,36544.0,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,68420
383,Mercedes,Sprinter High Roof,2015.0,41500.0,,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,62000
384,Mercedes,G-Class G 550 4MATIC,2022.0,6758.0,,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,77430
385,Porsche,,2018.0,44000.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,57000
386,,MX-5 Miata Base,2008.0,72348.0,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17200
387,Ford,F-150 Lariat,2010.0,107000.0,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,15000
388,FORD,Mustang GT Premium,2016.0,34988.0,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,30000
389,BMW,Equus Signature,2013.0,82000.0,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,17900
390,Toyota.,Sequoia Limited,2013.0,,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,17500
391,Tesla,Model X Base,2023.0,197.0,,557.0HP Electric Motor Electric Fuel System,1-Speed A/T,197750
392,,,2020.0,22185.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,24899
393,Jeep,,2022.0,,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,85989
394,Mercedes,E-Class E 350,2007.0,184000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,3600
395,FORD,F-150 XLT,2018.0,52500.0,,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,34000
396,,750 i xDrive,2019.0,19813.0,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,57850
397,MINI,Cooper S Base,2008.0,86000.0,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,16500
398,BMW,M4 Base,2016.0,27123.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,20950
